År,Kommun,Skola,Organistionsform,StudieVagKod,Studievag,Antagningsgrans,Median,AntalPlatser,AntalAntagna,AntalReserver,AntalLedigaPlatser,Year,Årtal,Unnamed: 12
2020.0,Botkyrka,S:t Botvids Gymnasium,K,EK,Ekonomiprogrammet EK,0.0,217.5,30,26,0,4,2020,,
2020.0,Botkyrka,S:t Botvids Gymnasium,K,EKEKO,Ekonomiprogrammet EK,0.0,217.5,30,26,0,4,2020,,
2020.0,Botkyrka,S:t Botvids Gymnasium,K,EKJUR,Ekonomiprogrammet EK,0.0,217.5,30,26,0,4,2020,,
2020.0,Botkyrka,S:t Botvids Gymnasium,K,ESCIRVS,"Estetiska programmet ES - Särskild variant, cirkus (spetsutbildning)",0.0,275.0,20,10,0,10,2020,,
2020.0,Botkyrka,S:t Botvids Gymnasium,K,HAHAN,Handels- och administrationsprogrammet HA - Handel och service,0.0,142.5,30,14,0,16,2020,,
2020.0,Botkyrka,S:t Botvids Gymnasium,K,IMVHA,Introduktionsprogram IM - Programinriktat val; mot Handels- och administrationsprogrammet,62.5,77.5,5,5,0,0,2020,,
2020.0,Botkyrka,S:t Botvids Gymnasium,K,IMVVO,Introduktionsprogram IM - Programinriktat val; mot Vård- och omsorgsprogrammet,102.5,102.5,2,2,2,0,2020,,
2020.0,Botkyrka,S:t Botvids Gymnasium,K,,Naturvetenskapsprogrammet NA,0.0,210.0,28,11,0,17,2020,,
2020.0,Botkyrka,S:t Botvids Gymnasium,K,NANAS,Naturvetenskapsprogrammet NA,0.0,210.0,28,11,0,17,2020,,
2020.0,Botkyrka,S:t Botvids Gymnasium,K,NANAT,Naturvetenskapsprogrammet NA,0.0,210.0,28,11,0,17,2020,,
2020.0,Botkyrka,S:t Botvids Gymnasium,K,SA,Samhällsvetenskapsprogrammet SA,0.0,195.0,30,28,0,2,2020,,
2020.0,Botkyrka,S:t Botvids Gymnasium,K,SABET,Samhällsvetenskapsprogrammet SA,0.0,195.0,30,28,0,2,2020,,
2020.0,Botkyrka,S:t Botvids Gymnasium,K,SASAM,Samhällsvetenskapsprogrammet SA,0.0,195.0,30,28,0,2,2020,,
2020.0,Botkyrka,S:t Botvids Gymnasium,K,VOVAR,Vård- och omsorgsprogrammet VO - Vård- och omsorgsprogrammet,0.0,187.5,10,5,0,5,2020,,
2020.0,Botkyrka,Skyttbrinks gymnasium,K,BFFRI,Barn- och fritidsprogrammet BF - Fritid och hälsa,0.0,160.0,18,9,0,9,2020,,
2020.0,Botkyrka,Skyttbrinks gymnasium,K,BFPED,Barn- och fritidsprogrammet BF - Pedagogiskt arbete,0.0,180.0,24,21,0,3,2020,,
2020.0,Botkyrka,Skyttbrinks gymnasium,K,BAHUS,Bygg- och anläggningsprogrammet BA - Husbyggnad,0.0,177.5,18,13,0,5,2020,,
2020.0,Botkyrka,Skyttbrinks gymnasium,K,IMVBF,Introduktionsprogram IM - Programinriktat val; mot Barn- och fritidsprogrammet,165.0,165.0,2,2,2,0,2020,,
2020.0,Botkyrka,Skyttbrinks gymnasium,K,IMVBA,Introduktionsprogram IM - Programinriktat val; mot Bygg- och anläggningsprogrammet,115.0,115.0,2,2,0,0,2020,,
2020.0,Botkyrka,Södertörns Gymnasium,F,NANAT,Naturvetenskapsprogrammet NA - Naturvetenskap,0.0,275.0,24,8,0,16,2020,,
2020.0,Botkyrka,Södertörns Gymnasium,F,NANAS,Naturvetenskapsprogrammet NA - Naturvetenskap och samhälle,0.0,227.5,24,2,0,22,2020,,
2020.0,Botkyrka,Södertörns Gymnasium,F,SASAM,Samhällsvetenskapsprogrammet SA - Samhällsvetenskap,0.0,197.5,24,9,0,15,2020,,
2020.0,Botkyrka,Tullinge Gymnasium,K,EK,Ekonomiprogrammet EK,257.5,287.5,64,64,78,0,2020,,
2020.0,Botkyrka,Tullinge Gymnasium,K,EKEKO,Ekonomiprogrammet EK,257.5,287.5,64,64,78,0,2020,,
2020.0,Botkyrka,Tullinge Gymnasium,K,EKJUR,Ekonomiprogrammet EK,257.5,287.5,64,64,78,0,2020,,
2020.0,Botkyrka,Tullinge Gymnasium,K,IMVVO,Introduktionsprogram IM - Programinriktat val; mot Vård- och omsorgsprogrammet,150.0,150.0,2,2,2,0,2020,,
2020.0,Botkyrka,Tullinge Gymnasium,K,,Naturvetenskapsprogrammet NA,277.5,307.5,96,96,48,0,2020,,
2020.0,Botkyrka,Tullinge Gymnasium,K,NANAS,Naturvetenskapsprogrammet NA,277.5,307.5,96,96,48,0,2020,,
2020.0,Botkyrka,Tullinge Gymnasium,K,NANAT,Naturvetenskapsprogrammet NA,277.5,307.5,96,96,48,0,2020,,
2020.0,Botkyrka,Tullinge Gymnasium,K,SABET,Samhällsvetenskapsprogrammet SA - Beteendevetenskap,260.0,287.5,32,32,63,0,2020,,
